ov,Last updated (DD/MM/YY),Expiry Date?,Name,Service Type,Additional/other (separate each type with a semi-colon),"Details (who, what, when, where, why)",Region,City/ Town,Address,Post Code,Phone,URL,Email,Hours,Volunteer need?
Misha MccGwire,06/09/17,,Abigail Housing,Destitution & Debt,Housing,Abigail Housing provides support and homes to refugees and asylum seekers who find themselves destitute. This includes those who have been refused asylum but are unable to return to their country of origin as well as those given refugee status but who have to leave their NASS housing. They also aim to encourage more housing providers to work with refugees in order to avoid a period of homelessness for those arriving in the UK. Charity Number: 1120729.,Yorkshire & Humberside,Leeds,"Woodhouse Community Centre, 197 Woodhouse Street, Leeds ",LS6 2NY,07743 189314,http://www.abigailhousing.org.uk/,refugee@abigailhousing.org.uk,Monday-Friday: 9:30-17:00,
Misha MccGwire,06/09/2017,,Action For Refugees In Lewisham,Advice & Support,"Education; Destitution & Debt; Social (clubs, groups); Children & Young People","Action for Refugees in Lewisham work to help refugees and asylum seekers to advance their education, and provide services to improve social integration. They provide various classes, including English and cookery, as well as giving advice on healthcare, finance and employment. They run Advice Drop in sessions on Thursday, other advice sessions require an appointment. They also offer a supplementary Saturday school for children during term time. Charity Number: 1116344.",London,South London,"F3 Leemore Central Community Hub,
Bonfield Road,
Lewisham,
London",SE13 5ES,020 8297 4111,http://www.afril.org.uk/en/,iolanda@afril.org.uk,"Monday: 10.00-17.00, Tuesday: 09.00-1pm, Wednesday: 10.00-17.00, Thursday: 09.00-13.30, Friday: 10.00-13.00, Saturday: 09.00-14.30, Sunday: Closed.                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",
Misha MccGwire,06/09/2017,,Adult Training Network Limited,Employment/ Training/ Volunteering,,"The Adult Training Network aims to unlock potential for employment and social prospects through education and training. They have tutoring, training and employment opportunities for all generations and are able to deliver outstanding results in a short amount of time. They offer projects and courses such as ICT, ESOL and Apprenticeships. Charity Number: 1093609.",South East,Middlesex,"Unit 18, Arches Business Centre, Merrick Road, Southall Middlesex ",UB2 4AU,020 8574 9588,http://www.adult-training.org.uk/home.html,southall@adult-training.org.uk,Monday-Friday: 9:00-16:00,
Misha MccGwire,06/09/17,,Afghanistan and Central Asian Association,Children & Young People,"Employment/ Training/ Volunteering; Advice & Support; Social (clubs, groups); Education; Housing; Women","The Afghanistan and Central Asian Association provides classes and employment workshops as well as a women’s support group and homework club. They run drop-in centres in Deptford and Hounslow Monday to Friday, 9:30am to 5pm, for free and professional advice on housing, benefits and entitlements, health, education, employment and more. Charity Number: 1096908",London,Hounslow,"169 Staines Road, Hounslow, ",TW3 3LL,020 8572 0300,http://acaa.org.uk/,info@acaa.org.uk,"Monday-Friday: 09.00-17.00, Saturday: 11.00-16.00 Sunday: Closed ",
Misha MccGwire,06/09/17,,Afghanistan and Central Asian Association,Children & Young People,"Employment/ Training/ Volunteering; Advice & Support; Social (clubs, groups); Education; Housing; Women","The Afghanistan and Central Asian Association provides classes, employment workshops as well as a women’s support group and homework club. They run drop-in centres in Deptford and Hounslow Monday to Friday, 9:30am to 5pm, for free and professional advice on housing, benefits and entitlements, health, education, employment and more. Charity Number: 1096908",London,South London - Deptford,"Ground Floor, 24 Deptford Broadway, London ",SE8 4PA,020 8469 0723,http://acaa.org.uk/,info@acaa.org.uk,"Monday-Friday: 09.00-17.00, Saturday: 11.00-16.00 Sunday: Closed ",
Misha MccGwire,06/09/2017,,African Community Advice North East,Advice & Support,,"ACANE exists to support the settlement of asylum seekers and refugees from the African continent, who have been dispersed to the North East region and Tyneside, in particular, and to actively promote their integration with the host community so that they can lead full and active lives, and participate in and contribute to the community on an equal basis. Charity Number: 1125283",North East,Newcastle,"1 Raby Cross, Byker, Newcastle",NE6 2FF,0191 265 8110,http://www.singleparents.org.uk/organisation/african-community-advice-north-east-acane-newcastle-upon-tyne,acane2003@hotmail.com,,
Misha MccGwire,06/09/2017,,African Community Association of Bolton,,,"African Community Association of Bolton (ACAB) is an organisation that aims to celebrate the different cultures of Africans and Friends of as well as supporters in Bolton. They aim to advance and promote the rich, colourful cultures, arts, heritage and traditions of the nations of Africa and promote racial ethnic and religious harmony within the community.",North West,Bolton,"First Floor, Churchgate House, Churchgate, Bolton",BL1 1HL,7722243687,http://acab-bolton.org/about/,,,
Misha MccGwire,26/07/2017,,African Healthcare And Counselling Services,Healthcare/ Mental Health / Disability,Employment/ Training/ Volunteering,"African Healthcare and Counselling Services operates in Newham, they preserve and protect health, to relieve sickness and to advance education and training amongst people from black and ethnic minority groups including refugees and asylum seekers. Charity number 1054302
",London,East London,"Stephen Lawrence House, 90 Greengate Street, London",E13 0AS,020 8552 6714 ,N/A,africanhealth@aol.com,,
Misha MccGwire,26/07/2017,,African Healthcare And Counselling Services,Healthcare/ Mental Health / Disability,Employment/ Training/ Volunteering,"African Healthcare and Counselling Services operates in Newham, they preserve and protect  health, to relieve sickness and to advance education and training amongst people from black and ethnic minority groups including refugees and asylum seekers. Charity number: 1054302
",London,East London,"2a Streatfield Avenue, London ",E6 2LA,020 8552 6714 ,N/A,africanhealth@aol.com,,
Michelle Lam,28/07/17,,African Society For Relief And Development,Employment/ Training/ Volunteering,,"African Society for Relief and Development promotes better health, education and other opportunities for disadvantaged people through practical support, access to employment advocacy, information, advice and training. ASRD offers Level 2, 3 and 5 Health and Social Care Qualifications and ESOL classes. They focus on the Somali community in South London. Charity Number: 1048298",London,South London,"334-336 Streatham High Road, London",SW16 6HH,020 8677 0768 ,http://www.asrd.org.uk/,"info@asrd.org.uk

",Monday-Friday: 09.00-18.00,
